Sampled Sewer Area,DataZone2011,Pop2011,dz_pop,prop_dz
Avse Pfi - Edinburgh DOA,S01008172,557,557,1.0
Avse Pfi - Edinburgh DOA,S01008173,664,664,1.0
Avse Pfi - Edinburgh DOA,S01008174,532,532,1.0
Avse Pfi - Edinburgh DOA,S01008175,750,750,1.0
Avse Pfi - Edinburgh DOA,S01008176,727,727,1.0
Avse Pfi - Edinburgh DOA,S01008177,776,776,1.0
Avse Pfi - Edinburgh DOA,S01008178,640,640,1.0
Avse Pfi - Edinburgh DOA,S01008179,512,512,1.0
Avse Pfi - Edinburgh DOA,S01008180,473,473,1.0
Avse Pfi - Edinburgh DOA,S01008181,678,678,1.0
Avse Pfi - Edinburgh DOA,S01008182,924,924,1.0
Avse Pfi - Edinburgh DOA,S01008183,642,642,1.0
Avse Pfi - Edinburgh DOA,S01008184,798,798,1.0
Avse Pfi - Edinburgh DOA,S01008185,1012,1012,1.0
Avse Pfi - Edinburgh DOA,S01008186,672,851,0.7896592244418331
Avse Pfi - Edinburgh DOA,S01008187,617,617,1.0
Avse Pfi - Edinburgh DOA,S01008188,920,920,1.0
Avse Pfi - Edinburgh DOA,S01008189,565,565,1.0
Avse Pfi - Edinburgh DOA,S01008190,877,877,1.0
Avse Pfi - Edinburgh DOA,S01008191,482,482,1.0
Avse Pfi - Edinburgh DOA,S01008192,784,784,1.0
Avse Pfi - Edinburgh DOA,S01008193,826,826,1.0
Avse Pfi - Edinburgh DOA,S01008194,630,630,1.0
Avse Pfi - Edinburgh DOA,S01008195,759,796,0.9535175879396985
Avse Pfi - Edinburgh DOA,S01008196,796,796,1.0
Avse Pfi - Edinburgh DOA,S01008197,940,940,1.0
Avse Pfi - Edinburgh DOA,S01008198,693,693,1.0
Avse Pfi - Edinburgh DOA,S01008199,776,776,1.0
Avse Pfi - Edinburgh DOA,S01008200,628,628,1.0
Avse Pfi - Edinburgh DOA,S01008201,797,797,1.0
Avse Pfi - Edinburgh DOA,S01008202,567,567,1.0
Avse Pfi - Edinburgh DOA,S01008203,556,556,1.0
Avse Pfi - Edinburgh DOA,S01008204,875,875,1.0
Avse Pfi - Edinburgh DOA,S01008205,680,680,1.0
Avse Pfi - Edinburgh DOA,S01008206,654,654,1.0
Avse Pfi - Edinburgh DOA,S01008207,618,618,1.0
Avse Pfi - Edinburgh DOA,S01008208,793,793,1.0
Avse Pfi - Edinburgh DOA,S01008209,563,563,1.0
Avse Pfi - Edinburgh DOA,S01008210,935,935,1.0
Avse Pfi - Edinburgh DOA,S01008211,887,887,1.0
Avse Pfi - Edinburgh DOA,S01008212,583,583,1.0
Avse Pfi - Edinburgh DOA,S01008213,1029,1029,1.0
Avse Pfi - Edinburgh DOA,S01008214,710,710,1.0
Avse Pfi - Edinburgh DOA,S01008215,735,735,1.0
