catchment_row,catchmentname,sitedata_id,WWRNA_simplename,localsite_id,altname,,,,,,,,,,,
,Forfar DOA,,Forfar,,,,,,,,,,,,,
,Dunblane DOA,,Dunblane,,,,,,,,,,,,,
,Banchory DOA,,Banchory,,,,,,,,,,,,,
,Macduff Berrymuir DOA,,Banff,,,,,,,,,,,,,
,Ellon DOA,,Ellon,,,,,,,,,,,,,
,Forres DOA,,Forres,,,,,,,,,,,,,
,Inverurie New DOA,,Inverurie,,,,,,,,,,,,,
,Turriff DOA,,Turriff,,,,,,,,,,,,,
,Langholm DOA,,Langholm,,,,,,,,,,,,,
,Loch Ryan DOA,,Loch Ryan,,,,,,,,,,,,,
,Sanquhar DOA,,Sanquhar,,,,,,,,,,,,,
,Grantown On Spey DOA,,Grantown on Spey,,,,,,,,,,,,,
,Huntly DOA,,Huntly,,,,,,,,,,,,,
,Buckie Moray East DOA,,Buckie,,,,,,,,,,,,,
,Aviemore DOA,,Aviemore,,,,,,,,,,,,,
,Kinneil Kerse DOA,,Kinneil,,,,,,,,,,,,,
,Persley DOA,,Persley,,,,,,,,,,,,,
,Erskine DOA,,Erskine,,,,,,,,,,,,,
,Newbridge DOA,,Newbridge,,,,,,,,,,,,,
,Montrose DOA,,Montrose,,,,,,,,,,,,,
,Jedburgh DOA,,Jedburgh,,,,,,,,,,,,,
,Haddington DOA,,Haddington,,,,,,,,,,,,,
,Alness & Invergordon DOA,,Alness,,,,,,,,,,,,,
,Thurso DOA,,Thurso,,,,,,,,,,,,,
,Wick DOA,,Wick,,,,,,,,,,,,,
,Dunoon DOA,,Dunoon,,,,,,,,,,,,,
,Oban DOA,,Oban,,,,,,,,,,,,,
